,p50,p90,p99,mean
vllm,12.877016412754337,14.552119381574675,15.301004392611723,12.68601497125714
orca,12.686870558111522,14.383438189177635,15.121155219440043,12.526479924018394
sarathi,12.045244271390985,13.532808015953165,14.037463152111753,11.85014079727789
