,p50,p90,p99,mean
vllm,1.3218221436423505,1.4359082427083458,1.530598908607137,1.3378004109770496
orca,1.3160855597373597,1.4160497996115786,1.50041755998351,1.3286721301762647
sarathi,1.3225780069455197,1.420564757808568,1.5091830762090406,1.3337296070554738
llumlet,1.3186893856621822,1.4192734763221038,1.5059669516798015,1.330737183280014
