,p50,p90,p99,mean
vllm@1r,1.3435481766213222,1.5324766662097111,1.6050484317211973,1.3750464440572738
vllm@2r,1.2681125661461654,1.3406991204524685,1.3849782428196409,1.283031365737466
vllm@4r,1.249129782621356,1.2895553106709596,1.2932158508311562,1.2565234563397567
orca@1r,1.3307472273103649,1.5021162924623477,1.559629415426355,1.3617761175348642
orca@2r,1.2695410930670208,1.3299620898712357,1.3664051602108542,1.2781643311829674
orca@4r,1.2473336276304252,1.2810311135497607,1.2847057829898028,1.2539900531037176
sarathi@1r,1.3384554248247804,1.5101801857327528,1.5572619111192705,1.3666422363167272
sarathi@2r,1.278982803374629,1.336897497116468,1.3671204004603483,1.2823457484203882
sarathi@4r,1.249129782621356,1.281015392394393,1.2846759325545878,1.2567983559664238
llumlet@1r,0.0738461750433856,0.07654003852454493,0.1411723815325043,0.07851277397289319
llumlet@2r,0.0738461750433856,0.0738461750433865,0.0738461750433865,0.07384617504338582
llumlet@4r,0.0738461750433856,0.0738461750433865,0.0738461750433865,0.07384617504338582
