,p50,p90,p99,mean
vllm,11.878192041593511,14.55933827284066,15.962132830343513,11.977112239480132
orca,11.608183198469973,14.379126456235442,15.775147806691871,11.78213915288237
sarathi,10.905979275057227,13.482536697725145,14.296534477135678,11.088452799348044
